# circuit bytes: 8200
# comm_lo: 0x80b474c1c427c2091a16c5636e7c2c3c
# comm_hi: 0xe24689d297fa89133effd76ac51a1eb6
# n_tc:    4
apples-prove: orchestrating Cairo 1 → simple-bootloader → Stwo Circle STARK
  fixture:     /home/abdel_starkware_co/grover-tax/fixtures/v0.2.json
  executable:  /home/abdel_starkware_co/grover-tax/stwo-side/cairo/target/dev/grover_tax_executable.executable.json
  bootloader:  /home/abdel_starkware_co/grover-tax/third_party/proving-utils/crates/cairo-program-runner-lib/resources/compiled_programs/bootloaders/simple_bootloader_compiled.json
2026-05-19T15:46:17.712484Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.712594Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=110µs time.idle=592ns
2026-05-19T15:46:17.715729Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.717967Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=2.24ms time.idle=1.19µs
2026-05-19T15:46:17.718825Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.719324Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=499µs time.idle=1.14µs
2026-05-19T15:46:17.719729Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.719961Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=231µs time.idle=694ns
2026-05-19T15:46:17.719987Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.719991Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=3.69µs time.idle=246ns
2026-05-19T15:46:17.720145Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.720258Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=112µs time.idle=414ns
2026-05-19T15:46:17.721569Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.722553Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=984µs time.idle=1.06µs
2026-05-19T15:46:17.725228Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.727496Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=2.27ms time.idle=1.09µs
2026-05-19T15:46:17.727522Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace: stwo_cairo_prover::prover: close time.busy=23.2s time.idle=3.77µs
